epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,472.004,0.88912,0.46926,0.92406,0.93408,0.89063,0.93756,0.67032,0.94514,0.47639,1.0563,0.000569375,0.000569375,0.000569375
57,480.432,0.87258,0.45634,0.93337,0.90225,0.93558,0.95811,0.67541,0.96578,0.465,1.05634,0.000557,0.000557,0.000557
58,488.952,0.87863,0.45428,0.92379,0.92089,0.85156,0.89555,0.63909,0.93276,0.49406,1.02933,0.000544625,0.000544625,0.000544625
59,497.443,0.87032,0.4556,0.93158,0.908,0.91771,0.93151,0.64842,0.97835,0.49952,1.06877,0.00053225,0.00053225,0.00053225
60,506.154,0.86588,0.44926,0.91848,0.92693,0.9303,0.95062,0.66611,0.9516,0.46118,1.0442,0.000519875,0.000519875,0.000519875
61,514.515,0.87715,0.45037,0.92188,0.95952,0.90683,0.96077,0.66341,0.96424,0.46965,1.04485,0.0005075,0.0005075,0.0005075
62,523.075,0.86665,0.4455,0.91931,0.93345,0.91177,0.94841,0.67813,0.9344,0.47519,1.03677,0.000495125,0.000495125,0.000495125
63,531.426,0.86805,0.45119,0.92025,0.91956,0.90601,0.94296,0.6848,0.91726,0.47608,1.01824,0.00048275,0.00048275,0.00048275
64,539.784,0.87168,0.45054,0.92397,0.88245,0.93155,0.9351,0.68022,0.94653,0.44671,1.05365,0.000470375,0.000470375,0.000470375
65,548.367,0.86859,0.44812,0.91373,0.88685,0.89196,0.90797,0.66261,0.95343,0.47572,1.05597,0.000458,0.000458,0.000458
66,556.69,0.85515,0.43663,0.9161,0.91729,0.90336,0.91858,0.65893,0.96563,0.44583,1.05852,0.000445625,0.000445625,0.000445625
67,565.071,0.83021,0.42892,0.91413,0.96417,0.86425,0.9252,0.65627,0.95786,0.47536,1.04215,0.00043325,0.00043325,0.00043325
68,573.631,0.86716,0.44317,0.91706,0.90463,0.92464,0.9567,0.68058,0.94046,0.44212,1.04287,0.000420875,0.000420875,0.000420875
69,582.036,0.85283,0.43775,0.91889,0.93382,0.93429,0.962,0.6874,0.94917,0.44712,1.04168,0.0004085,0.0004085,0.0004085
70,590.725,0.82702,0.42342,0.91012,0.90887,0.94179,0.95213,0.67101,0.95074,0.46703,1.05807,0.000396125,0.000396125,0.000396125
71,598.979,0.85913,0.4333,0.91512,0.93609,0.87479,0.93638,0.68324,0.94441,0.45742,1.03604,0.00038375,0.00038375,0.00038375
72,607.467,0.83415,0.42861,0.9118,0.91103,0.91262,0.93926,0.67382,0.92845,0.46357,1.03896,0.000371375,0.000371375,0.000371375
73,615.907,0.84624,0.43492,0.91627,0.95488,0.89985,0.9442,0.66453,0.92825,0.4388,1.04082,0.000359,0.000359,0.000359
